Cargo_id;Nome_cargo;Nivel;Descricao
105;Supervisor Operacoes Gestao 105;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
106;Analista RH Junior 106;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
107;Assistente RH Pleno 107;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
108;Business Partner Senior 108;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
109;Coordenador RH Especialista 109;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
110;Especialista Dados Gestao 110;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
111;Analista People Junior 111;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
112;Recrutador Pleno 112;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
113;Analista Treinamento Senior 113;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
114;Analista Remuneracao Especialista 114;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
115;Gerente RH Gestao 115;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
116;Analista Departamento Pessoal Junior 116;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
117;Assistente Administrativo Pleno 117;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
118;Analista Diversidade Senior 118;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
119;Analista Beneficios Especialista 119;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
120;Supervisor Operacoes Gestao 120;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
121;Analista RH Junior 121;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
122;Assistente RH Pleno 122;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
123;Business Partner Senior 123;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
124;Coordenador RH Especialista 124;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
125;Especialista Dados Gestao 125;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
126;Analista People Junior 126;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
127;Recrutador Pleno 127;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
128;Analista Treinamento Senior 128;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
129;Analista Remuneracao Especialista 129;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
130;Gerente RH Gestao 130;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
131;Analista Departamento Pessoal Junior 131;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
132;Assistente Administrativo Pleno 132;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
133;Analista Diversidade Senior 133;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
134;Analista Beneficios Especialista 134;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
135;Supervisor Operacoes Gestao 135;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
136;Analista RH Junior 136;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
137;Assistente RH Pleno 137;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
138;Business Partner Senior 138;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
139;Coordenador RH Especialista 139;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
140;Especialista Dados Gestao 140;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
141;Analista People Junior 141;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
142;Recrutador Pleno 142;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
143;Analista Treinamento Senior 143;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
144;Analista Remuneracao Especialista 144;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
145;Gerente RH Gestao 145;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
146;Analista Departamento Pessoal Junior 146;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
147;Assistente Administrativo Pleno 147;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
148;Analista Diversidade Senior 148;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
149;Analista Beneficios Especialista 149;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
150;Supervisor Operacoes Gestao 150;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
151;Analista RH Junior 151;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
152;Assistente RH Pleno 152;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
153;Business Partner Senior 153;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
154;Coordenador RH Especialista 154;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
155;Especialista Dados Gestao 155;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
156;Analista People Junior 156;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
157;Recrutador Pleno 157;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
158;Analista Treinamento Senior 158;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
159;Analista Remuneracao Especialista 159;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
160;Gerente RH Gestao 160;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
161;Analista Departamento Pessoal Junior 161;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
162;Assistente Administrativo Pleno 162;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
163;Analista Diversidade Senior 163;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
164;Analista Beneficios Especialista 164;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
165;Supervisor Operacoes Gestao 165;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
166;Analista RH Junior 166;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
167;Assistente RH Pleno 167;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
168;Business Partner Senior 168;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
169;Coordenador RH Especialista 169;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
170;Especialista Dados Gestao 170;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
171;Analista People Junior 171;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
172;Recrutador Pleno 172;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
173;Analista Treinamento Senior 173;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
174;Analista Remuneracao Especialista 174;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
175;Gerente RH Gestao 175;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
176;Analista Departamento Pessoal Junior 176;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
177;Assistente Administrativo Pleno 177;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
178;Analista Diversidade Senior 178;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
179;Analista Beneficios Especialista 179;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
180;Supervisor Operacoes Gestao 180;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
181;Analista RH Junior 181;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
182;Assistente RH Pleno 182;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
183;Business Partner Senior 183;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
184;Coordenador RH Especialista 184;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
185;Especialista Dados Gestao 185;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
186;Analista People Junior 186;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
187;Recrutador Pleno 187;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
188;Analista Treinamento Senior 188;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
189;Analista Remuneracao Especialista 189;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
190;Gerente RH Gestao 190;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
191;Analista Departamento Pessoal Junior 191;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
192;Assistente Administrativo Pleno 192;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
193;Analista Diversidade Senior 193;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
194;Analista Beneficios Especialista 194;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
195;Supervisor Operacoes Gestao 195;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
196;Analista RH Junior 196;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
197;Assistente RH Pleno 197;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
198;Business Partner Senior 198;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
199;Coordenador RH Especialista 199;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
200;Especialista Dados Gestao 200;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
201;Analista People Junior 201;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
202;Recrutador Pleno 202;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
203;Analista Treinamento Senior 203;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
204;Analista Remuneracao Especialista 204;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
205;Gerente RH Gestao 205;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
206;Analista Departamento Pessoal Junior 206;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
207;Assistente Administrativo Pleno 207;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
208;Analista Diversidade Senior 208;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
209;Analista Beneficios Especialista 209;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
210;Supervisor Operacoes Gestao 210;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
211;Analista RH Junior 211;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
212;Assistente RH Pleno 212;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
213;Business Partner Senior 213;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
214;Coordenador RH Especialista 214;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
215;Especialista Dados Gestao 215;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
216;Analista People Junior 216;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
217;Recrutador Pleno 217;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
218;Analista Treinamento Senior 218;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
219;Analista Remuneracao Especialista 219;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
220;Gerente RH Gestao 220;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
221;Analista Departamento Pessoal Junior 221;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
222;Assistente Administrativo Pleno 222;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
223;Analista Diversidade Senior 223;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
224;Analista Beneficios Especialista 224;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
225;Supervisor Operacoes Gestao 225;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
226;Analista RH Junior 226;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
227;Assistente RH Pleno 227;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
228;Business Partner Senior 228;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
229;Coordenador RH Especialista 229;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
230;Especialista Dados Gestao 230;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
231;Analista People Junior 231;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
232;Recrutador Pleno 232;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
233;Analista Treinamento Senior 233;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
234;Analista Remuneracao Especialista 234;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
235;Gerente RH Gestao 235;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
236;Analista Departamento Pessoal Junior 236;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
237;Assistente Administrativo Pleno 237;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
238;Analista Diversidade Senior 238;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
239;Analista Beneficios Especialista 239;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
240;Supervisor Operacoes Gestao 240;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
241;Analista RH Junior 241;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
242;Assistente RH Pleno 242;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
243;Business Partner Senior 243;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
